time,open,high,low,close,volume
2022-10-31 12:00:00+00:00,20741.6,20818.7,20703.3,20722.1,18812.177
2022-10-31 16:00:00+00:00,20722.1,20746.3,20225.4,20390.4,178190.073
2022-10-31 20:00:00+00:00,20390.5,20523.5,20318.5,20358.8,71420.368
2022-11-01 00:00:00+00:00,20358.8,20514.1,20343.6,20482.0,33544.367
2022-11-01 04:00:00+00:00,20482.1,20578.0,20429.6,20471.3,41397.455
2022-11-01 08:00:00+00:00,20471.3,20649.0,20455.8,20590.2,48087.0
2022-11-01 12:00:00+00:00,20590.2,20687.0,20477.5,20511.7,63102.765
2022-11-01 16:00:00+00:00,20511.8,20558.4,20320.0,20435.6,99511.246
2022-11-01 20:00:00+00:00,20435.6,20511.0,20366.8,20438.6,42827.185
2022-11-02 00:00:00+00:00,20438.6,20494.4,20419.4,20472.1,19750.536
2022-11-02 04:00:00+00:00,20472.1,20549.9,20400.0,20511.0,35407.129
2022-11-02 08:00:00+00:00,20511.0,20550.0,20343.4,20414.2,49841.428
2022-11-02 12:00:00+00:00,20414.2,20529.9,20323.0,20423.0,60009.619
2022-11-02 16:00:00+00:00,20423.0,20450.0,20352.3,20400.2,45694.925
2022-11-02 20:00:00+00:00,20400.2,20796.0,20100.0,20241.1,376975.578
2022-11-03 00:00:00+00:00,20241.2,20273.6,20050.0,20140.1,83607.082
2022-11-03 04:00:00+00:00,20140.2,20334.0,20111.0,20299.4,55383.428
2022-11-03 08:00:00+00:00,20299.3,20400.0,20270.8,20293.8,51958.954
2022-11-03 12:00:00+00:00,20293.7,20329.9,20038.6,20124.3,71215.533
2022-11-03 16:00:00+00:00,20124.3,20327.6,20026.0,20241.0,128488.783
2022-11-03 20:00:00+00:00,20241.1,20304.8,20169.2,20253.7,34370.149
2022-11-04 00:00:00+00:00,20253.6,20260.7,20149.2,20199.7,30704.214
2022-11-04 04:00:00+00:00,20199.8,20316.0,20171.6,20309.2,35410.81
2022-11-04 08:00:00+00:00,20309.3,20677.0,20296.0,20603.3,106949.307
2022-11-04 12:00:00+00:00,20603.3,20665.0,20533.2,20547.0,60734.001000000004
2022-11-04 16:00:00+00:00,20547.1,20878.3,20350.0,20749.8,188525.49200000003
2022-11-04 20:00:00+00:00,20829.2,21100.0,20660.0,21097.3,177529.745
2022-11-05 00:00:00+00:00,21097.2,21200.0,21040.6,21137.6,57593.665
2022-11-05 04:00:00+00:00,21137.6,21473.7,21071.1,21436.5,93221.318
2022-11-05 08:00:00+00:00,21436.4,21455.7,21352.6,21374.4,35559.701
2022-11-05 12:00:00+00:00,21374.4,21426.0,21226.8,21395.5,64262.119
2022-11-05 16:00:00+00:00,21395.5,21412.0,21202.8,21289.7,57249.357
2022-11-05 20:00:00+00:00,21289.7,21339.0,21250.1,21321.5,29400.799
2022-11-06 00:00:00+00:00,21321.6,21373.1,21227.0,21289.9,24290.078
2022-11-06 04:00:00+00:00,21289.8,21355.8,21162.2,21226.9,40699.165
2022-11-06 08:00:00+00:00,21226.9,21243.2,21133.8,21185.3,29802.220999999998
2022-11-06 12:00:00+00:00,21185.2,21301.0,21166.1,21247.1,42651.174
2022-11-06 16:00:00+00:00,21247.1,21278.9,21180.0,21233.7,35361.461
2022-11-06 20:00:00+00:00,21233.8,21272.3,21144.8,21186.7,44654.263999999996
2022-11-07 00:00:00+00:00,21186.6,21202.0,20863.3,20900.0,83980.361
2022-11-07 04:00:00+00:00,20900.0,21062.6,20811.0,20907.6,99825.86
2022-11-07 08:00:00+00:00,20907.6,20913.8,20606.0,20628.1,109342.628
2022-11-07 12:00:00+00:00,20628.1,20808.4,20563.2,20724.4,94293.74799999999
2022-11-07 16:00:00+00:00,20724.4,20793.2,20620.0,20756.2,85160.52100000001
2022-11-07 20:00:00+00:00,20756.3,20885.6,20641.6,20836.4,68633.777
2022-11-08 00:00:00+00:00,20836.4,20878.4,20374.0,20578.6,97151.782
2022-11-08 04:00:00+00:00,20578.5,20664.4,20111.1,20140.6,134243.87099999998
2022-11-08 08:00:00+00:00,20140.6,20235.0,19335.0,19785.6,294507.597
2022-11-08 12:00:00+00:00,19785.6,19787.7,19560.0,19689.0,85159.375
2022-11-08 16:00:00+00:00,19688.9,19737.5,19200.0,19513.8,208044.95799999998
2022-11-08 20:00:00+00:00,19513.8,20685.0,16830.0,18238.0,996111.854
2022-11-09 00:00:00+00:00,18238.0,18722.0,17798.8,18534.0,328408.658
2022-11-09 04:00:00+00:00,18533.9,18574.9,17976.4,18303.3,157362.162
2022-11-09 08:00:00+00:00,18303.3,18498.5,18163.0,18224.9,112780.527
2022-11-09 12:00:00+00:00,18225.0,18245.2,17229.3,17800.4,385550.42799999996
2022-11-09 16:00:00+00:00,17800.3,18008.0,16884.0,17098.4,471835.52
2022-11-09 20:00:00+00:00,17096.8,17308.0,16403.0,16764.5,435847.028
2022-11-10 00:00:00+00:00,16764.5,16885.1,15462.6,15905.0,502230.747
2022-11-10 04:00:00+00:00,15905.0,16556.7,15730.0,16351.7,227863.407
2022-11-10 08:00:00+00:00,16351.7,16891.0,16184.7,16739.5,195621.803
2022-11-10 12:00:00+00:00,16739.5,16940.0,16250.2,16388.1,202280.24
2022-11-10 16:00:00+00:00,16388.1,17947.5,16375.5,17541.6,444259.472
2022-11-10 20:00:00+00:00,17541.6,17987.0,17101.0,17438.6,247600.192
2022-11-11 00:00:00+00:00,17438.6,18230.0,17360.1,17588.0,179468.488
2022-11-11 04:00:00+00:00,17588.0,17678.0,16880.0,17052.3,153660.874
2022-11-11 08:00:00+00:00,17052.4,17479.2,16994.9,17397.3,125301.566
2022-11-11 12:00:00+00:00,17397.3,17524.9,17208.7,17339.9,93569.549
2022-11-11 16:00:00+00:00,17340.0,17550.0,16343.0,16864.8,339327.713
2022-11-11 20:00:00+00:00,16864.7,17037.8,16528.1,16842.6,143530.861
2022-11-12 00:00:00+00:00,16842.6,17145.0,16538.0,17058.3,99954.03899999999
2022-11-12 04:00:00+00:00,17058.4,17110.8,16765.0,16899.0,54367.46
2022-11-12 08:00:00+00:00,16899.1,16930.0,16623.8,16811.3,72323.72
2022-11-12 12:00:00+00:00,16811.4,16975.0,16716.6,16859.6,60387.186
2022-11-12 16:00:00+00:00,16859.6,16996.0,16746.7,16925.4,58486.175
2022-11-12 20:00:00+00:00,16925.5,16957.9,16820.0,16885.4,31243.027000000002
2022-11-13 00:00:00+00:00,16885.3,16889.3,16752.3,16806.9,27648.149
2022-11-13 04:00:00+00:00,16806.9,16950.0,16771.0,16906.1,28927.034
2022-11-13 08:00:00+00:00,16905.8,16914.1,16550.0,16765.5,60272.22
2022-11-13 12:00:00+00:00,16765.4,16786.2,16413.8,16651.8,83564.90100000001
2022-11-13 16:00:00+00:00,16651.8,16710.2,16512.6,16568.4,52082.694
2022-11-13 20:00:00+00:00,16568.4,16616.1,16455.2,16547.6,46374.693999999996
2022-11-14 00:00:00+00:00,16547.6,16578.8,16210.3,16321.2,78521.293
2022-11-14 04:00:00+00:00,16321.3,16399.5,15900.0,16130.0,122618.564
2022-11-14 08:00:00+00:00,16130.0,16894.5,15805.5,16813.0,234671.573
2022-11-14 12:00:00+00:00,16813.1,16921.6,16635.0,16740.8,108402.937
